901229-1234515,utfe1002,korute313,박현수,남,29,서울시 동작구,010-3085-1541,경기대학교,공과계열,대졸,3년,서울시 동작구,서울시 서초구,서울시 구로구,N수생,5,언어,외국어,1점,10,2점,1,3점,3,4점,7,5점,10,A,1
891025-1325421,jbkw5we,Ndjew12dJ,김명수,남,30,강원도 평창군,010-5412-8464,강원대학교,사회과학계열,대졸,5년,강원도 평창군,*,*,무관,2,언어,*,1점,2,2점,1,3점,1,4점,2,5점,1,A,2
941210-2102131,ljyquee,ljlj23K1,이지예,여,25,서울시 중랑구,010-2352-4213,서울대학교,사범계열,3학년,1년이하,서울시 도봉구,서울시 중랑구,*,무관,4,언어,외국어,1점,0,2점,0,3점,3,4점,2,5점,4,A,3
950203-2131245,lyrie21,irVing3,이수진,여,24,경기도 광명시,010-8454-3212,명지대학교,사회과학계열,2학년,2년,경기도 안양시,경기도 과천시,서울시 구로구,1학년,3,수리,*,1점,2,2점,3,3점,1,4점,5,5점,2,A,4
880330-1215117,lebrone,cavs32K,김구,남,31,서울시 서대문구,010-2314-0023,홍익대학교,인문계열,석사,10년이상,서울시 서대문구,서울시 구로구,서울시 중구,무관,4,수리,외국어,1점,1,2점,3,3점,5,4점,7,5점,2,A,5
940821-1203158,durant14,Warriors4,김영준,남,25,경기도 수원시,010-2313-5675,성균관대학교,사회과학계열,4학년,5년,경기도 수원시,*,*,2학년,3,언어,사탐,1점,1,2점,12,3점,11,4점,10,5점,2,A,6
900621-2102157,westbrook,Thunder0,정유정,여,29,서울시 구로구,010-1312-7787,연세대학교,의과계열,대졸,7년,서울시 구로구,경기도 광명시,*,무관,2,수리,과탐,1점,10,2점,8,3점,21,4점,14,5점,10,A,7
910821-1221429,booker3,SunsPhn3,김진명,남,28,서울시 동대문구,010-2321-1270,동국대학교,인문계열,석사,4년,서울시 동대문구,서울시 중구,서울시 중랑구,N수생,7,논술,외국어,1점,8,2점,4,3점,2,4점,3,5점,2,A,8
950717-2215118,camelo10,OKC001okc,박경리,여,24,서울시 송파구,010-3544-2047,이화여자대학교,공과계열,대졸,3년,서울시 송파구,서울시 경기도 하남시,*,1학년,3,수리,*,1점,3,2점,5,3점,3,4점,2,5점,8,A,9
970420-1101059,ingram9,Lakers21,최현,남,22,경기도 의정부시,010-9980-8788,명지대학교,사범계열,2학년,1년이하,경기도 의정부시,경기도 양주시,서울시 도봉구,무관,3,과탐,*,1점,2,2점,0,3점,0,4점,0,5점,3,A,10
